symbol,signal_date,regime_status,total_score,grade,s_volume,s_stochrsi,s_fib,s_sr,s_pattern,plan_entry,plan_sl,plan_tp1,plan_tp2,plan_rr1,status,fill_date,fill_price,exit_date,exit_type,bars_held,pnl_r,win,source
1000CHEEMSUSDT,2025-10-17 00:00:00+00:00,HIJAU,32,C,15,3,8,6,0,0.0011634450000000001,0.0010017449999999998,0.0016803333333333334,0.00253044,3.2,filled,2025-10-27 00:00:00+00:00,0.0011634450000000001,2025-11-20 00:00:00+00:00,SL,24.0,-1.0200857504638208,False,system
1000CHEEMSUSDT,2025-11-21 00:00:00+00:00,HIJAU,33,C,22,3,8,0,0,0.0009663180000000001,0.0008470999999999999,0.0012435,0.001961856,2.33,cancelled,,,,,,,,system
1000CHEEMSUSDT,2025-12-05 00:00:00+00:00,HIJAU,62,B,22,3,5,20,12,0.000835341,0.0006271319530358037,0.0013224999999999999,0.001578,2.34,cancelled,,,,,,,,system
1000CHEEMSUSDT,2025-12-27 00:00:00+00:00,HIJAU,69,B,22,15,12,20,0,0.000986,0.00096136,0.001103,0.001469288,4.75,filled,2025-12-28 00:00:00+00:00,0.000986,2025-12-30 00:00:00+00:00,SL,2.0,-1.1185492012986895,False,system
1000CHEEMSUSDT,2026-01-01 00:00:00+00:00,HIJAU,27,C,8,3,12,4,0,0.000981,0.00095288094,0.001103,0.001469288,4.34,filled,2026-01-02 00:00:00+00:00,0.000981,2026-01-03 00:00:00+00:00,SL,1.0,-1.103162604636489,False,system
1000CHEEMSUSDT,2026-01-08 00:00:00+00:00,HIJAU,25,C,5,3,9,1,7,0.000964,0.00092512728,0.0011840000000000002,0.0013026560000000001,5.66,filled,2026-01-09 00:00:00+00:00,0.000964,2026-01-16 00:00:00+00:00,SL,7.0,-1.0728971462856167,False,system
1000CHEEMSUSDT,2026-03-09 00:00:00+00:00,HIJAU,27,C,8,7,8,4,0,0.000471734,0.00042791364,0.000571,0.000620633,2.27,filled,2026-03-11 00:00:00+00:00,0.000471734,2026-03-27 00:00:00+00:00,SL,16.0,-1.0307960356824972,False,system
1000CHEEMSUSDT,2026-04-01 00:00:00+00:00,HIJAU,53,C,22,20,5,6,0,0.000448361,0.00042552,0.0005489119999999999,0.0005991874999999999,4.4,filled,2026-04-02 00:00:00+00:00,0.000448361,2026-04-03 00:00:00+00:00,SL,1.0,-1.0573894715861785,False,system
1000CHEEMSUSDT,2026-04-09 00:00:00+00:00,HIJAU,46,C,8,3,15,12,8,0.000445,0.00042552,0.0005139999999999999,0.0005484999999999999,3.54,filled,2026-04-10 00:00:00+00:00,0.000445,2026-04-12 00:00:00+00:00,SL,2.0,-1.0670323275153957,False,system
1000CHEEMSUSDT,2026-04-13 00:00:00+00:00,HIJAU,41,C,20,3,5,1,12,0.000446597,0.00042552,0.0005139999999999999,0.0005477014999999999,3.2,cancelled,,,,,,,,system
1000CHEEMSUSDT,2026-04-26 00:00:00+00:00,HIJAU,31,C,5,3,5,6,12,0.00051689,0.0004465494,0.0007578800000000001,0.000878375,3.43,cancelled,,,,,,,,system
1000CHEEMSUSDT,2026-05-07 00:00:00+00:00,HIJAU,34,C,8,8,5,1,12,0.000510275,0.00044337150000000003,0.0007388,0.0008530624999999999,3.42,cancelled,,,,,,,,system
1000CHEEMSUSDT,2026-05-18 00:00:00+00:00,HIJAU,28,C,8,3,5,12,0,0.000510275,0.00044337150000000003,0.0007388,0.0008530624999999999,3.42,cancelled,,,,,,,,system
1000CHEEMSUSDT,2026-06-09 00:00:00+00:00,HIJAU,49,C,8,15,20,6,0,0.000552,0.0005043199999999999,0.000864728,0.0010210920000000001,6.56,filled,2026-06-10 00:00:00+00:00,0.000552,2026-06-19 00:00:00+00:00,SL,9.0,-1.0332320436241587,False,system
1000CHEEMSUSDT,2026-06-22 00:00:00+00:00,HIJAU,44,C,8,3,20,1,12,0.000505,0.00045113,0.000705728,0.000806092,3.73,filled,2026-06-23 00:00:00+00:00,0.000505,2026-06-25 00:00:00+00:00,SL,2.0,-1.0266237596992744,False,system
1000CHEEMSUSDT,2026-07-10 00:00:00+00:00,HIJAU,31,C,5,3,15,1,7,0.000476,0.00045785718000000003,0.0005133333333333333,0.0005319999999999999,2.06,filled,2026-07-11 00:00:00+00:00,0.000476,2026-07-12 00:00:00+00:00,SL,1.0,-1.0772093225534867,False,system
1000CHEEMSUSDT,2026-07-14 00:00:00+00:00,HIJAU,46,C,8,15,15,1,7,0.000472,0.00045785718000000003,0.0005133333333333333,0.000534,2.92,filled,2026-07-15 00:00:00+00:00,0.000472,2026-07-17 00:00:00+00:00,SL,2.0,-1.0986219750664912,False,system
1000CHEEMSUSDT,2026-07-19 00:00:00+00:00,HIJAU,21,C,5,3,9,1,3,0.000471,0.00045785718000000003,0.0005133333333333333,0.0005344999999999999,3.22,filled,2026-07-20 00:00:00+00:00,0.000471,2026-07-24 00:00:00+00:00,SL,4.0,-1.106011673401135,False,system
1000CATUSDT,2025-09-04 00:00:00+00:00,HIJAU,41,C,8,12,15,6,0,0.00684,0.0061464,0.008255,0.0109376,2.04,filled,2025-09-05 00:00:00+00:00,0.00684,2025-09-25 00:00:00+00:00,TP1_BE,20.0,0.9889260434688601,True,system
1000CATUSDT,2025-10-01 00:00:00+00:00,HIJAU,43,C,15,5,8,15,0,0.006896360000000001,0.0064813,0.008255,0.010187120000000001,3.27,filled,2025-10-10 00:00:00+00:00,0.006896360000000001,2025-10-11 00:00:00+00:00,SL,1.0,-1.048346498168935,False,system
1000CATUSDT,2025-11-01 00:00:00+00:00,HIJAU,28,C,5,3,5,15,0,0.004104740000000001,0.0033580403999999998,0.0062766666666666665,0.007362629999999999,2.91,filled,2025-11-04 00:00:00+00:00,0.004104740000000001,2025-11-19 00:00:00+00:00,SL,15.0,-1.0149920315342336,False,system
1000CATUSDT,2025-11-20 00:00:00+00:00,HIJAU,42,C,8,12,15,0,7,0.00354,0.0031567734000000004,0.0051199999999999996,0.0059099999999999995,4.12,filled,2025-11-21 00:00:00+00:00,0.00354,2025-11-22 00:00:00+00:00,SL,1.0,-1.0262125638285529,False,system
1000CATUSDT,2025-11-24 00:00:00+00:00,HIJAU,40,C,8,20,12,0,0,0.00343,0.0031567734000000004,0.0051199999999999996,0.005965,6.19,filled,2025-11-25 00:00:00+00:00,0.00343,2025-12-01 00:00:00+00:00,SL,6.0,-1.0361615476432353,False,system
