symbol,total_score,grade,phase,readiness,vetoed,veto_reason,score_base,score_contraction,score_wyckoff,score_smartmoney,score_rs,price,range_bottom,range_top,range_width_pct,base_bars,pos_in_range,bbw_percentile,atr_percentile,contractions,obv_slope,up_down_vol,rs_slope,vs_btc_30d,vs_btc_90d,run_30d,drawdown_1y,events,pivot,entry,entry_style,stop_loss,tp1,tp2,rr_tp1,rr_tp2,position_size_usd,vol_24h_usd,tradingview
ETHUSDT,53,C,?,PANTAU,True,R:R ke TP1 hanya 1:1.49,11,5,5,17,15,2467.65,1822.06,2566.53,40.9,40.0,0.87,92.8,40.6,"[8.0, 4.6]",0.71,1.61,0.225,8.7,15.0,33.8,-48.3,SOS,2566.53,2579.36265,breakout di atas 2566.53 + konfirmasi volume,2338.2673305578746,2938.7650000000003,3311.0000000000005,1.49,3.03,1604.78,594265707.439395,https://www.tradingview.com/chart/?symbol=BINANCE:ETHUSDT
BNBUSDT,53,C,D,SIAP,False,,17,8,11,8,9,691.44,537.25,745.74,38.8,150.0,0.74,86.1,40.6,"[5.6, 5.2, 4.1, 3.3]",-0.05,1.1,0.058,-4.9,-11.4,20.2,-49.7,"SC,AR,ST,SOS",726.08,691.44,"sekarang (Phase D, harga belum melar dari support)",656.6706,849.985,954.23,4.56,7.56,2982.97,60948047.37227,https://www.tradingview.com/chart/?symbol=BINANCE:BNBUSDT
TRXUSDT,44,C,?,PANTAU,True,R:R ke TP1 hanya 1:1.77,18,9,0,12,5,0.3326,0.3108,0.3775,21.5,150.0,0.33,32.8,31.7,"[5.9, 3.6, 3.0, 2.9]",0.18,1.15,0.041,-23.6,-17.7,1.4,-11.9,,0.3502,0.35195099999999996,breakout di atas 0.3502 + konfirmasi volume,0.31874199999999997,0.41085,0.4442,1.77,2.78,1589.71,34260871.62872,https://www.tradingview.com/chart/?symbol=BINANCE:TRXUSDT
NEARUSDT,43,C,D,SIAP,False,,15,9,16,2,1,1.922,1.538,2.147,39.6,65.0,0.63,34.4,57.2,"[12.9, 24.0, 13.1, 7.1]",-0.15,1.04,-0.494,-10.3,-44.6,14.8,-42.5,"SPRING,TEST,SOS",2.147,1.8424999999999998,limit di zona back-up/LPS (jangan kejar bar SOS),1.6761599999999999,2.4515,2.7559999999999993,3.66,5.49,1661.51,25892628.8606,https://www.tradingview.com/chart/?symbol=BINANCE:NEARUSDT
BTCUSDT,36,C,?,PANTAU,False,,17,5,5,4,5,78581.29,57800.19,82850.0,43.3,150.0,0.83,88.3,40.6,"[7.5, 11.4, 7.0, 4.5]",-1.82,0.89,0.0,0.0,0.0,25.1,-37.7,SOS,81478.87,81886.26434999998,breakout di atas 81478.9 + konfirmasi volume,76111.37705847947,95374.905,107899.81,2.34,4.5,2126.96,1179310663.4744003,https://www.tradingview.com/chart/?symbol=BINANCE:BTCUSDT
UUSDT,36,C,B,PANTAU,False,,18,3,6,0,9,0.9998,0.9992,1.002,0.3,150.0,0.21,45.6,22.8,[],-0.47,0.57,0.082,-25.2,-17.8,-0.1,,"SC,AR,ST",1.0007,1.0057034999999999,breakout di atas 1.0007 + konfirmasi volume,0.969224,1.0969022499999996,1.1881009999999992,2.5,5.0,4135.35,27528134.9259,https://www.tradingview.com/chart/?symbol=BINANCE:UUSDT
ZECUSDT,32,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa; sudah naik 84% dalam 30 hari — bukan lagi fase akumulasi,0,3,0,14,15,848.1,,,,,,76.7,18.9,[],0.18,1.54,0.466,58.6,21.4,83.7,-4.5,,,,,,,,,,,168561471.03499,https://www.tradingview.com/chart/?symbol=BINANCE:ZECUSDT
RLUSDUSDT,32,C,B,PANTAU,False,,17,0,6,0,9,1.0005,0.9984,1.0029,0.5,150.0,0.47,46.7,60.0,[],-2.31,0.7,0.083,-25.1,-17.8,-0.1,,"SC,AR,ST",1.0015,1.0065074999999999,breakout di atas 1.0015 + konfirmasi volume,0.969903,1.0980187499999996,1.1895299999999995,2.5,5.0,4124.52,95874735.3776,https://www.tradingview.com/chart/?symbol=BINANCE:RLUSDUSDT
LINKUSDT,32,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,17,15,11.325,,,,,,93.9,66.7,[],1.42,1.41,0.329,15.3,17.5,40.4,-55.8,,,,,,,,,,,36290049.31021,https://www.tradingview.com/chart/?symbol=BINANCE:LINKUSDT
PUMPUSDT,32,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa; sudah naik 111% dalam 30 hari — bukan lagi fase akumulasi,0,0,0,17,15,0.004453,,,,,,94.4,96.1,[],0.98,1.37,1.848,85.5,154.3,110.5,,,,,,,,,,,,30889852.706694,https://www.tradingview.com/chart/?symbol=BINANCE:PUMPUSDT
ENAUSDT,32,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa; sudah naik 89% dalam 30 hari — bukan lagi fase akumulasi,0,0,0,17,15,0.1495,,,,,,94.4,84.4,[],4.43,1.38,0.811,63.7,40.7,88.8,-82.9,,,,,,,,,,,24064437.964453,https://www.tradingview.com/chart/?symbol=BINANCE:ENAUSDT
UNIUSDT,30,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,17,13,5.232,,,,,,78.9,74.4,[],3.39,1.76,0.112,3.0,69.2,28.0,-49.5,,,,,,,,,,,38925969.40592,https://www.tradingview.com/chart/?symbol=BINANCE:UNIUSDT
HEMIUSDT,28,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa; sudah naik 244% dalam 30 hari — bukan lagi fase akumulasi,0,0,0,13,15,0.01598,,,,,,93.9,83.9,[],1.32,1.99,1.306,218.6,132.0,243.7,,,,,,,,,,,,28900143.765223,https://www.tradingview.com/chart/?symbol=BINANCE:HEMIUSDT
SOLUSDT,26,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,17,9,103.06,,,,,,87.2,52.8,[],0.54,1.58,0.049,18.2,21.1,43.2,-59.3,,,,,,,,,,,217970583.7837,https://www.tradingview.com/chart/?symbol=BINANCE:SOLUSDT
ARBUSDT,25,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,20,5,0.1094,,,,,,76.7,63.9,[],0.76,1.74,-0.265,13.6,0.1,38.7,-80.4,,,,,,,,,,,31056161.93714,https://www.tradingview.com/chart/?symbol=BINANCE:ARBUSDT
TRUMPUSDT,24,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa; sudah naik 69% dalam 30 hari — bukan lagi fase akumulasi,0,0,0,13,11,2.426,,,,,,94.4,98.9,[],1.35,1.83,0.217,43.7,6.6,68.8,-74.7,,,,,,,,,,,24032656.957368,https://www.tradingview.com/chart/?symbol=BINANCE:TRUMPUSDT
0GUSDT,23,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,7,0,13,3,0.2253,,,,,,17.8,40.6,[],0.63,1.82,-0.734,28.2,-58.9,53.3,,,,,,,,,,,,26840071.739313,https://www.tradingview.com/chart/?symbol=BINANCE:0GUSDT
BMTUSDT,22,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa; sudah naik 69% dalam 30 hari — bukan lagi fase akumulasi,0,0,0,7,15,0.02006,,,,,,87.2,91.7,[],2.68,0.8,0.803,44.3,17.7,69.4,-74.3,,,,,,,,,,,104832942.781682,https://www.tradingview.com/chart/?symbol=BINANCE:BMTUSDT
XRPUSDT,21,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,14,7,1.3798,,,,,,94.4,93.9,[],0.12,1.46,-0.011,5.0,-3.8,30.1,-56.7,,,,,,,,,,,125112579.76932,https://www.tradingview.com/chart/?symbol=BINANCE:XRPUSDT
PEPEUSDT,19,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,10,9,3.55e-06,,,,,,94.4,90.0,[],0.02,1.04,0.172,3.1,-3.9,28.2,-72.0,,,,,,,,,,,25787853.00409152,https://www.tradingview.com/chart/?symbol=BINANCE:PEPEUSDT
DASHUSDT,19,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,14,5,44.89,,,,,,68.3,53.3,[],0.13,2.11,-0.184,18.9,1.0,44.0,-70.1,,,,,,,,,,,23890342.02313,https://www.tradingview.com/chart/?symbol=BINANCE:DASHUSDT
ENSOUSDT,18,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,7,0,4,7,0.887,,,,,,15.6,48.9,[],0.05,0.58,0.142,-30.7,16.5,-5.6,,,,,,,,,,,,20444616.70326,https://www.tradingview.com/chart/?symbol=BINANCE:ENSOUSDT
DOGEUSDT,15,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,14,1,0.08285,,,,,,94.4,77.8,[],0.11,1.4,-0.113,-5.3,-28.4,19.8,-73.0,,,,,,,,,,,36241871.61272,https://www.tradingview.com/chart/?symbol=BINANCE:DOGEUSDT
SUIUSDT,3,C,?,PANTAU,True,Basis: tidak ada basis sideways (harga masih trending); Wyckoff: tidak ada trading range untuk dianalisa,0,0,0,2,1,0.727,,,,,,70.6,67.8,[],-0.23,0.95,-0.341,-17.5,-27.8,7.6,-81.7,,,,,,,,,,,40952390.86411,https://www.tradingview.com/chart/?symbol=BINANCE:SUIUSDT
