symbol,signal_date,status,total_score,grade,s_volume,s_stochrsi,s_fib,s_sr,s_pattern,plan_entry,plan_sl,plan_tp1,plan_tp2,plan_rr1,fill_date,fill_price,exit_date,exit_type,bars_held,pnl_r,win,source
BTCUSDT,2024-09-04 00:00:00+00:00,filled,48,C,8,20,8,12,0,56056.0,55237.3619,58703.5,74888.0,3.23,2024-09-05 00:00:00+00:00,56056.0,2024-09-06 00:00:00+00:00,SL,1.0,-1.2039246062076006,False,system
BTCUSDT,2024-09-10 00:00:00+00:00,filled,43,C,8,15,8,12,0,56056.0,55237.3619,58703.5,74888.0,3.23,2024-09-11 00:00:00+00:00,56056.0,2024-10-11 00:00:00+00:00,TP1_TIMEOUT,30.0,5.363463608491999,True,system
BTCUSDT,2024-10-12 00:00:00+00:00,cancelled,31,C,5,15,5,6,0,55825.88179,51789.2093334,64867.815,74043.71142,2.24,,,,,,,,system
BTCUSDT,2024-10-24 00:00:00+00:00,cancelled,41,C,8,3,5,15,10,58049.10832,52857.265507200005,70383.775,82200.58336,2.38,,,,,,,,system
BTCUSDT,2024-11-06 00:00:00+00:00,cancelled,54,C,22,15,5,12,0,61083.4,54314.964,83852.8,93333.2,3.36,,,,,,,,system
BTCUSDT,2024-11-17 00:00:00+00:00,cancelled,29,C,5,3,5,6,10,68521.14724,65832.475,105305.89408,120621.80552,13.68,,,,,,,,system
BTCUSDT,2024-12-10 00:00:00+00:00,cancelled,29,C,8,3,5,6,7,75278.258,62943.340679999994,118106.336,135938.484,3.47,,,,,,,,system
BTCUSDT,2024-12-21 00:00:00+00:00,cancelled,26,C,5,3,5,6,7,77159.12299999999,63846.923579999995,123531.416,142839.25400000002,3.48,,,,,,,,system
BTCUSDT,2025-01-01 00:00:00+00:00,cancelled,52,C,5,15,5,20,7,77034.8057,67046.54992199999,99775.855,126206.0,2.28,,,,,,,,system
BTCUSDT,2025-01-15 00:00:00+00:00,cancelled,43,C,8,5,5,15,10,78252.26558,67631.4275868,103406.19,129779.41884,2.37,,,,,,,,system
BTCUSDT,2025-01-29 00:00:00+00:00,cancelled,40,C,5,3,5,15,12,84808.648,73998.73008,108970.5,136982.704,2.24,,,,,,,,system
BTCUSDT,2025-05-06 00:00:00+00:00,cancelled,41,C,8,3,5,15,10,84821.96687999999,78717.83388479998,99126.096,112349.26623999998,2.34,,,,,,,,system
BTCUSDT,2025-05-18 00:00:00+00:00,cancelled,33,C,8,5,5,15,0,88687.032,80574.64271999999,108970.5,126529.936,2.5,,,,,,,,system
BTCUSDT,2025-06-09 00:00:00+00:00,cancelled,33,C,8,5,5,15,0,91033.152,81701.73792,122172.384,135137.696,3.34,,,,,,,,system
BTCUSDT,2025-06-25 00:00:00+00:00,cancelled,50,C,8,15,5,15,7,90393.77696999999,81394.5769362,109490.39,132791.87106,2.12,,,,,,,,system
BTCUSDT,2025-07-06 00:00:00+00:00,cancelled,20,C,5,3,5,7,0,90393.77696999999,81394.5769362,120328.20024,132791.87106,3.33,,,,,,,,system
BTCUSDT,2025-07-17 00:00:00+00:00,cancelled,22,C,8,3,5,6,0,95989.11,84082.6206,136467.12,153320.78,3.4,,,,,,,,system
BTCUSDT,2025-07-28 00:00:00+00:00,cancelled,31,C,5,15,5,6,0,106536.881,103523.68715,131334.752,141659.738,8.23,,,,,,,,system
BTCUSDT,2025-08-08 00:00:00+00:00,cancelled,28,C,5,5,5,6,7,106536.881,98765.34426,131334.752,141659.738,3.19,,,,,,,,system
BTCUSDT,2025-08-19 00:00:00+00:00,filled,46,C,8,3,8,20,7,109786.834,102784.40964,123846.0,140711.332,2.01,2025-08-25 00:00:00+00:00,109786.834,2025-09-24 00:00:00+00:00,TIMEOUT,30.0,0.45491773210428504,True,system
BTCUSDT,2025-09-29 00:00:00+00:00,cancelled,35,C,8,15,5,7,0,106887.7,105646.175,123846.0,130074.6,13.66,,,,,,,,system
BTCUSDT,2025-10-10 00:00:00+00:00,filled,70,A,20,3,20,20,7,112774.5,108871.2423,123846.0,143503.40134,2.84,2025-10-11 00:00:00+00:00,112774.5,2025-10-16 00:00:00+00:00,SL,5.0,-1.0851777132416438,False,system
BTCUSDT,2025-10-20 00:00:00+00:00,filled,52,C,5,15,12,20,0,110532.09,105646.175,131352.56936,137907.41134000002,4.26,2025-10-21 00:00:00+00:00,110532.09,2025-11-03 00:00:00+00:00,SL,13.0,-1.066368293442984,False,system
BTCUSDT,2025-12-16 00:00:00+00:00,filled,45,C,8,3,20,6,8,87863.42,82757.7074214,98393.99528,107287.32666666666,2.06,2025-12-17 00:00:00+00:00,87863.42,2026-01-16 00:00:00+00:00,TIMEOUT,30.0,1.451786051339485,True,system
BTCUSDT,2026-01-17 00:00:00+00:00,filled,33,C,5,3,5,20,0,88240.10008999999,83464.3664514,98833.815,108631.02482,2.22,2026-01-20 00:00:00+00:00,88240.10008999999,2026-01-29 00:00:00+00:00,SL,9.0,-1.0539307899412937,False,system
BTCUSDT,2026-02-24 00:00:00+00:00,filled,48,C,5,3,20,20,0,64058.15,61803.9629,73970.376,77770.494,4.4,2026-02-25 00:00:00+00:00,64058.15,2026-03-27 00:00:00+00:00,TP1_TIMEOUT,30.0,2.6303542409319105,True,system
BTCUSDT,2026-03-28 00:00:00+00:00,filled,48,C,5,3,20,20,0,66377.03,64634.21265,80352.0,85888.0,8.02,2026-03-29 00:00:00+00:00,66377.03,2026-04-28 00:00:00+00:00,TIMEOUT,30.0,5.595345537999166,True,system
BTCUSDT,2026-05-01 00:00:00+00:00,cancelled,45,C,8,15,5,7,10,68593.17606,64025.0,84136.385,91527.79788,3.4,,,,,,,,system
BTCUSDT,2026-05-12 00:00:00+00:00,cancelled,36,C,8,3,5,20,0,70076.85,64241.001,83707.59000000001,96971.3,2.34,,,,,,,,system
BTCUSDT,2026-06-01 00:00:00+00:00,filled,63,B,8,15,20,20,0,71408.9,68476.72720000001,89065.2,96971.3,6.02,2026-06-02 00:00:00+00:00,71408.9,2026-06-03 00:00:00+00:00,SL,1.0,-1.0715612350289814,False,system
BTCUSDT,2026-06-04 00:00:00+00:00,filled,43,C,8,3,12,20,0,63885.99,61572.6258,89065.2,96971.3,10.88,2026-06-05 00:00:00+00:00,63885.99,2026-06-06 00:00:00+00:00,SL,1.0,-1.081348661132599,False,system
ARBUSDT,2024-08-20 00:00:00+00:00,filled,28,C,5,3,8,0,12,0.5029644,0.460090224,0.73665,0.7011711999999999,5.45,2024-08-30 00:00:00+00:00,0.5029644,2024-09-29 00:00:00+00:00,TIMEOUT,30.0,3.282001842269813,True,system
ARBUSDT,2024-09-30 00:00:00+00:00,filled,35,C,8,3,8,4,12,0.539832,0.4900375,0.73665,0.836436,3.95,2024-10-01 00:00:00+00:00,0.539832,2024-10-25 00:00:00+00:00,SL,24.0,-1.0310240919629647,False,system
ARBUSDT,2024-10-26 00:00:00+00:00,filled,51,C,8,12,20,4,7,0.5144,0.49860699999999997,0.6717792,0.7378998,9.97,2024-10-27 00:00:00+00:00,0.5144,2024-11-03 00:00:00+00:00,SL,7.0,-1.0962146771670922,False,system
ARBUSDT,2024-11-04 00:00:00+00:00,filled,23,C,8,3,12,0,0,0.4733,0.454348818,0.5178499999999999,0.6573233999999999,2.35,2024-11-05 00:00:00+00:00,0.4733,2024-11-11 00:00:00+00:00,TP1_TP2,6.0,5.946617318822113,True,system
ARBUSDT,2024-11-13 00:00:00+00:00,cancelled,29,C,20,3,5,1,0,0.5435805,0.47960253,0.73665,0.8501890000000001,3.02,,,,,,,,system
ARBUSDT,2024-11-28 00:00:00+00:00,cancelled,31,C,5,3,5,6,12,0.6720879,0.5578055000000001,1.26695,1.3216742000000001,5.21,,,,,,,,system
ARBUSDT,2024-12-09 00:00:00+00:00,filled,49,C,20,3,8,6,12,0.7857777,0.7223004999999999,1.26695,1.7387945999999999,7.58,2024-12-19 00:00:00+00:00,0.7857777,2024-12-20 00:00:00+00:00,SL,1.0,-1.0356371900241312,False,system
ARBUSDT,2024-12-29 00:00:00+00:00,filled,50,C,5,10,20,15,0,0.7423,0.7223004999999999,0.8528,1.7196365999999998,5.53,2024-12-30 00:00:00+00:00,0.7423,2024-12-31 00:00:00+00:00,SL,1.0,-1.1098482836945827,False,system
ARBUSDT,2025-01-01 00:00:00+00:00,filled,55,C,5,15,20,15,0,0.7461,0.7223004999999999,0.8528,1.7196365999999998,4.48,2025-01-02 00:00:00+00:00,0.7461,2025-01-09 00:00:00+00:00,TP1_BE,7.0,2.144234192945231,True,system
ARBUSDT,2025-01-10 00:00:00+00:00,filled,55,C,8,12,20,15,0,0.748,0.7223004999999999,0.8528,1.7196365999999998,4.08,2025-01-11 00:00:00+00:00,0.748,2025-01-12 00:00:00+00:00,SL,1.0,-1.0858173738691344,False,system
ARBUSDT,2025-01-13 00:00:00+00:00,filled,41,C,8,12,15,6,0,0.703,0.694228,0.73665,1.2602864,3.84,2025-01-14 00:00:00+00:00,0.703,2025-01-19 00:00:00+00:00,TP1_BE,5.0,1.6747344861491402,True,system
ARBUSDT,2025-02-26 00:00:00+00:00,filled,39,C,8,12,15,4,0,0.4224,0.37771489799999997,0.5167666666666667,0.6192273999999999,2.11,2025-02-27 00:00:00+00:00,0.4224,2025-03-04 00:00:00+00:00,SL,5.0,-1.0268589448347003,False,system
ARBUSDT,2025-03-05 00:00:00+00:00,filled,49,C,22,12,15,0,0,0.415,0.37771489799999997,0.5167666666666667,0.6192273999999999,2.73,2025-03-06 00:00:00+00:00,0.415,2025-03-09 00:00:00+00:00,SL,3.0,-1.0318918529323307,False,system
ARBUSDT,2025-04-29 00:00:00+00:00,filled,32,C,8,3,5,4,12,0.29549329999999996,0.266738,0.46685,0.4382634,5.96,2025-05-06 00:00:00+00:00,0.29549329999999996,2025-05-11 00:00:00+00:00,TP1_TP2,5.0,5.423049091183197,True,system
ARBUSDT,2025-05-28 00:00:00+00:00,filled,31,C,5,15,5,6,0,0.33143480000000003,0.28254520799999994,0.44199999999999995,0.5701303999999999,2.26,2025-05-30 00:00:00+00:00,0.33143480000000003,2025-06-21 00:00:00+00:00,SL,22.0,-1.018838252051601,False,system
ARBUSDT,2025-07-02 00:00:00+00:00,filled,34,C,22,3,8,1,0,0.3234086,0.3121465,0.3637,0.5406827999999999,3.58,2025-07-04 00:00:00+00:00,0.3234086,2025-08-03 00:00:00+00:00,TP1_TIMEOUT,30.0,4.328367888377839,True,system
ARBUSDT,2025-08-07 00:00:00+00:00,cancelled,30,C,5,5,8,12,0,0.3663339,0.3556835,0.42765,0.6698822,5.76,,,,,,,,system
ARBUSDT,2025-08-18 00:00:00+00:00,cancelled,22,C,8,3,5,6,0,0.3980859,0.3556835,0.5670666666666667,0.7863782,3.99,,,,,,,,system
ARBUSDT,2025-09-03 00:00:00+00:00,cancelled,44,C,15,15,8,6,0,0.416652,0.3556835,0.5670666666666667,0.854496,2.47,,,,,,,,system
ARBUSDT,2025-09-14 00:00:00+00:00,cancelled,33,C,5,3,5,20,0,0.416652,0.34655485634865235,0.5670666666666667,0.854496,2.15,,,,,,,,system
ARBUSDT,2025-12-06 00:00:00+00:00,cancelled,26,C,5,3,5,6,7,0.1581287,0.129422502,0.29464999999999997,0.3001926,4.76,,,,,,,,system
ARBUSDT,2025-12-19 00:00:00+00:00,cancelled,40,C,8,15,8,6,3,0.1602896,0.130460616,0.22535,0.30812080000000003,2.18,,,,,,,,system
ARBUSDT,2026-01-01 00:00:00+00:00,cancelled,27,C,5,3,5,6,8,0.1602896,0.130460616,0.22535,0.30812080000000003,2.18,,,,,,,,system
ARBUSDT,2026-01-12 00:00:00+00:00,cancelled,25,C,8,3,5,1,8,0.1590548,0.129867408,0.22613333333333333,0.30359040000000004,2.3,,,,,,,,system
ARBUSDT,2026-03-10 00:00:00+00:00,filled,37,C,15,7,15,0,0,0.0985,0.092649942,0.1861,0.1282646,14.97,2026-03-11 00:00:00+00:00,0.0985,2026-03-22 00:00:00+00:00,SL,11.0,-1.04901281970691,False,system
ARBUSDT,2026-04-15 00:00:00+00:00,cancelled,52,C,20,3,5,12,12,0.1034704,0.09470498399999999,0.1861,0.1439592,9.43,,,,,,,,system
ARBUSDT,2026-04-26 00:00:00+00:00,cancelled,36,C,5,8,5,6,12,0.1083351,0.095768046,0.1861,0.16847979999999999,6.19,,,,,,,,system
ARBUSDT,2026-05-07 00:00:00+00:00,cancelled,34,C,8,15,5,6,0,0.1083351,0.095768046,0.1861,0.16847979999999999,6.19,,,,,,,,system
ARBUSDT,2026-05-18 00:00:00+00:00,filled,29,C,5,3,15,6,0,0.1176,0.1119945,0.1861,0.1888666,12.22,2026-05-19 00:00:00+00:00,0.1176,2026-05-20 00:00:00+00:00,SL,1.0,-1.0614386857104599,False,system
ARBUSDT,2026-05-29 00:00:00+00:00,filled,38,C,8,12,12,6,0,0.1032,0.098437482,0.11276666666666668,0.1888666,2.01,2026-05-30 00:00:00+00:00,0.1032,2026-06-01 00:00:00+00:00,SL,2.0,-1.0635081283176244,False,system
BTCUSDT,2025-11-30 00:00:00+00:00,filled,,,,,,,,90360.0,83200.89802670947,104678.20394658105,111837.30591987158,2.0,2025-11-30 00:00:00+00:00,90360.0,2025-12-30 00:00:00+00:00,TIMEOUT,30.0,-0.299308374185665,False,baseline_random
ARBUSDT,2024-12-11 00:00:00+00:00,filled,,,,,,,,0.9995,0.7824242771095802,1.4336514457808398,1.6507271686712597,2.0,2024-12-11 00:00:00+00:00,0.9995,2024-12-19 00:00:00+00:00,SL,8.0,-1.0123136522036364,False,baseline_random
ARBUSDT,2026-04-16 00:00:00+00:00,filled,,,,,,,,0.129,0.11441679354741871,0.1581664129051626,0.17274961935774388,2.0,2026-04-16 00:00:00+00:00,0.129,2026-05-04 00:00:00+00:00,SL,18.0,-1.0250378737427603,False,baseline_random
ARBUSDT,2026-07-19 00:00:00+00:00,filled,,,,,,,,0.0891,0.07759687088226455,0.1121062582354709,0.12360938735320634,2.0,2026-07-19 00:00:00+00:00,0.0891,2026-07-27 00:00:00+00:00,SL,8.0,-1.0217376554960516,False,baseline_random
BTCUSDT,2025-06-08 00:00:00+00:00,filled,,,,,,,,105734.0,100105.83500317727,116990.32999364546,122618.49499046819,2.0,2025-06-08 00:00:00+00:00,105734.0,2025-06-22 00:00:00+00:00,SL,14.0,-1.0548602549430504,False,baseline_random
BTCUSDT,2025-08-07 00:00:00+00:00,filled,,,,,,,,117472.01,112048.56328834855,128318.90342330288,133742.35013495432,2.0,2025-08-07 00:00:00+00:00,117472.01,2025-08-21 00:00:00+00:00,SL,14.0,-1.0634805853104856,False,baseline_random
BTCUSDT,2025-05-05 00:00:00+00:00,filled,,,,,,,,94733.68,89551.40893338392,105098.22213323214,110280.4931998482,2.0,2025-05-05 00:00:00+00:00,94733.68,2025-05-21 00:00:00+00:00,TP1_TP2,16.0,2.441410228303785,True,baseline_random
BTCUSDT,2026-07-19 00:00:00+00:00,filled,,,,,,,,64722.54,61178.198483274275,71811.22303345145,75355.56455017718,2.0,2026-07-19 00:00:00+00:00,64722.54,2026-08-18 00:00:00+00:00,TIMEOUT,30.0,-0.05397107972165871,False,baseline_random
ARBUSDT,2025-05-21 00:00:00+00:00,filled,,,,,,,,0.411,0.34059339957145107,0.5518132008570977,0.6222198012856467,2.0,2025-05-21 00:00:00+00:00,0.411,2025-05-30 00:00:00+00:00,SL,9.0,-1.0160130626361012,False,baseline_random
ARBUSDT,2025-04-27 00:00:00+00:00,filled,,,,,,,,0.3357,0.2921269651428068,0.42284606971438643,0.46641910457157965,2.0,2025-04-27 00:00:00+00:00,0.3357,2025-05-11 00:00:00+00:00,TP1_TP2,14.0,2.473138331579225,True,baseline_random
BTCUSDT,2024-08-26 00:00:00+00:00,filled,,,,,,,,62834.0,57568.762684080415,73364.47463183917,78629.71194775875,2.0,2024-08-26 00:00:00+00:00,62834.0,2024-09-01 00:00:00+00:00,SL,6.0,-1.0343017352890624,False,baseline_random
ARBUSDT,2024-12-15 00:00:00+00:00,filled,,,,,,,,1.0168,0.8117736640599416,1.4268526718801167,1.631879007820175,2.0,2024-12-15 00:00:00+00:00,1.0168,2024-12-19 00:00:00+00:00,SL,4.0,-1.0133785886417026,False,baseline_random
ARBUSDT,2026-01-18 00:00:00+00:00,filled,,,,,,,,0.2061,0.18084584566465217,0.2566083086706957,0.2818624630060435,2.0,2026-01-18 00:00:00+00:00,0.2061,2026-01-20 00:00:00+00:00,SL,2.0,-1.0229836005540551,False,baseline_random
ARBUSDT,2024-12-22 00:00:00+00:00,filled,,,,,,,,0.747,0.5430793189420735,1.154841362115853,1.3587620431737795,2.0,2024-12-22 00:00:00+00:00,0.747,2025-01-21 00:00:00+00:00,TIMEOUT,30.0,-0.13242311794912562,False,baseline_random
BTCUSDT,2026-07-20 00:00:00+00:00,filled,,,,,,,,65255.51,61578.76430589754,72609.00138820492,76285.7470823074,2.0,2026-07-20 00:00:00+00:00,65255.51,2026-08-19 00:00:00+00:00,TIMEOUT,30.0,1.054572959957332,True,baseline_random
BTCUSDT,2026-04-06 00:00:00+00:00,filled,,,,,,,,68853.66,64010.632118827205,78539.7157623456,83382.74364351839,2.0,2026-04-06 00:00:00+00:00,68853.66,2026-05-06 00:00:00+00:00,TP1_TIMEOUT,30.0,2.2540522550241744,True,baseline_random
BTCUSDT,2024-09-10 00:00:00+00:00,filled,,,,,,,,57635.99,52614.767269064374,67678.43546187124,72699.65819280688,2.0,2024-09-10 00:00:00+00:00,57635.99,2024-10-10 00:00:00+00:00,TIMEOUT,30.0,0.5005668758158571,True,baseline_random
