symbol,total_score,grade,vetoed,veto_reason,score_volume,score_stochrsi,score_fib,score_sr,score_pattern,price,entry,stop_loss,tp1,tp2,rr_tp1,rr_tp2,position_size_usd,sl_pct,vol_ratio,stochrsi_k,stochrsi_htf,fib_retr,trend,pattern,dist_to_resistance_pct,vol_24h_usd,change_24h,tradingview
NEARUSDT,60,B,True,R:R ke TP1 hanya 1:1.65 (min 1:2.0),15,7,8,20,10,1.922,1.8065689999999999,1.65164274,2.0620000000000003,2.5233619999999997,1.65,4.63,1749.12,-8.58,0.86,53.2,42.9,0.369,uptrend,Double Bottom,7.28,25801203.7582,4.352,https://www.tradingview.com/chart/?symbol=BINANCE:NEARUSDT
DASHUSDT,60,B,False,,20,3,5,20,12,44.89,37.51006,32.716767600000004,47.169999999999995,66.42999999999999,2.02,6.03,1173.83,-12.78,2.1,70.5,98.1,0.184,range,Bull Flag,5.08,23897179.19399,8.85,https://www.tradingview.com/chart/?symbol=BINANCE:DASHUSDT
XRPUSDT,58,C,True,R:R ke TP1 hanya 1:1.05 (min 1:2.0),15,3,8,20,12,1.3798,1.3009416999999999,1.127542482,1.4833500000000002,2.1409666,1.05,4.84,1125.39,-13.33,0.57,52.2,85.8,0.449,range,Bull Flag,7.5,126532460.99017,2.136,https://www.tradingview.com/chart/?symbol=BINANCE:XRPUSDT
DOGEUSDT,57,C,True,R:R ke TP1 hanya 1:0.95 (min 1:2.0),15,3,15,12,12,0.08285,0.08285,0.0781893,0.08729166666666666,0.12591,0.95,9.24,2666.44,-5.63,0.59,24.8,79.2,0.542,range,Bull Flag,5.36,36189213.23441,1.011,https://www.tradingview.com/chart/?symbol=BINANCE:DOGEUSDT
TRXUSDT,55,C,True,R:R ke TP1 hanya 1:1.85 (min 1:2.0),8,20,8,12,7,0.3326,0.3326,0.323671,0.3491,0.3745492,1.85,4.7,5587.41,-2.68,1.08,11.3,33.8,0.447,uptrend,Double Bottom,4.96,34505390.1806,-1.071,https://www.tradingview.com/chart/?symbol=BINANCE:TRXUSDT
0GUSDT,49,C,False,,25,3,5,6,10,0.2253,0.1829665,0.15720309000000002,0.556,0.30831699999999995,14.48,4.87,1065.27,-14.08,10.32,77.1,88.0,0.162,range,Double Bottom,146.78,26559854.410396,43.809,https://www.tradingview.com/chart/?symbol=BINANCE:0GUSDT
LINKUSDT,48,C,True,R:R ke TP1 hanya 1:1.67 (min 1:2.0),15,10,5,6,12,11.325,9.476184,8.11754064,11.742250000000002,16.095632,1.67,4.87,1046.21,-14.34,0.95,2.7,94.8,0.23,uptrend,Bull Flag,3.68,35560794.54364,2.271,https://www.tradingview.com/chart/?symbol=BINANCE:LINKUSDT
PEPEUSDT,44,C,True,R:R ke TP1 hanya 1:1.8 (min 1:2.0),15,3,8,6,12,3.55e-06,3.25753e-06,3.0535e-06,3.625e-06,5.999940000000001e-06,1.8,13.44,2394.89,-6.26,0.74,42.7,81.1,0.433,range,Bull Flag,2.11,25752605.10714864,3.79,https://www.tradingview.com/chart/?symbol=BINANCE:PEPEUSDT
UNIUSDT,43,C,True,StochRSI: Stoch RSI sudah overbought (95) - telat,20,0,5,6,12,5.232,3.716616,3.1234349999999997,5.5573999999999995,7.454768,3.1,6.3,939.84,-15.96,1.24,95.4,100.0,0.082,range,Bull Flag,6.22,38841176.55975,2.038,https://www.tradingview.com/chart/?symbol=BINANCE:UNIUSDT
HEMIUSDT,43,C,True,StochRSI: Stoch RSI sudah overbought (85) - telat; R:R ke TP1 hanya 1:1.34 (min 1:2.0),20,0,5,6,12,0.01598,0.01000201,0.005452633434036977,0.01609,0.02602098,1.34,3.52,329.78,-45.48,1.26,85.2,100.0,0.12,uptrend,Bull Flag,0.69,29045111.884583,5.479,https://www.tradingview.com/chart/?symbol=BINANCE:HEMIUSDT
